Issue Type,Summary,Description,Epic Name,Priority,Story Points,Sprint,Status,Assignee,Labels
Epic,Authentication & User Management,User registration login and profile management system,,,,,New,,authentication
Story,"As a user, I want to register with email and password so that I can access the platform",,Authentication & User Management,P1,5,Sprint 1,Done,,authentication
Story,"As a user, I want to log in securely so that I can access my account",,Authentication & User Management,P1,5,Sprint 1,Done,,authentication
Story,"As a researcher, I want to create my professional profile during signup so that nonprofits can find me",,Authentication & User Management,P1,8,Sprint 1,Done,,authentication
Story,"As a nonprofit, I want to create my organization profile during signup so that researchers know about us",,Authentication & User Management,P1,8,Sprint 1,Done,,authentication
Story,"As a user, I want to verify my email address so that my account is secure",,Authentication & User Management,P1,8,Sprint 6,Planned,,authentication email-verification
Story,"As a user, I want to enable multi-factor authentication so that my account is protected",,Authentication & User Management,P2,13,Sprint 7,Planned,,authentication security mfa
Story,"As a user, I want to log in with Google or Microsoft so that I don't need another password",,Authentication & User Management,P2,8,,Backlog,,authentication oauth
Story,"As a user, I want to update my profile information so that it stays current",,Authentication & User Management,P1,5,Sprint 2,Done,,profile
Story,"As a user, I want to change my password so that I can keep my account secure",,Authentication & User Management,P1,3,Sprint 2,Done,,profile security
Story,"As a user, I want to manage notification preferences so that I control what emails I receive",,Authentication & User Management,P2,3,Sprint 2,Done,,profile notifications
Story,"As a nonprofit, I want to update my organization details so that researchers have accurate information",,Authentication & User Management,P1,5,Sprint 2,Done,,profile nonprofit
Story,"As a researcher, I want to update my professional profile so that nonprofits see my latest skills",,Authentication & User Management,P1,5,Sprint 2,Done,,profile researcher
Story,"As a researcher, I want to add my academic history so that nonprofits see my qualifications",,Authentication & User Management,P2,5,Sprint 5,Done,,profile researcher credentials
Story,"As a researcher, I want to add my certifications so that nonprofits trust my expertise",,Authentication & User Management,P2,5,Sprint 5,Done,,profile researcher credentials
Story,"As a user, I want to delete my account so that I can leave the platform if needed",,Authentication & User Management,P2,3,Sprint 2,Done,,profile
Epic,Project Management,Project brief creation editing and milestone tracking system,,,,,New,,projects
Story,"As a nonprofit, I want to create project briefs so that researchers can find opportunities",,Project Management,P1,8,Sprint 3,Done,,projects nonprofit
Story,"As a nonprofit, I want to edit my project briefs so that I can update requirements",,Project Management,P1,5,Sprint 3,Done,,projects nonprofit
Story,"As a nonprofit, I want to delete draft projects so that I can remove unwanted ideas",,Project Management,P1,3,Sprint 3,Done,,projects nonprofit
Story,"As a nonprofit, I want to set project status to control visibility",,Project Management,P1,3,Sprint 3,Done,,projects nonprofit
Story,"As a nonprofit, I want to add budget information so that researchers know the compensation",,Project Management,P1,2,Sprint 3,Done,,projects nonprofit
Story,"As a nonprofit, I want to specify required methods so that I get qualified researchers",,Project Management,P1,2,Sprint 3,Done,,projects nonprofit
Story,"As a nonprofit, I want to set data sensitivity levels so that researchers know the requirements",,Project Management,P1,2,Sprint 3,Done,,projects nonprofit
Story,"As a nonprofit, I want to break projects into milestones so that I can track progress",,Project Management,P1,8,Sprint 3,Done,,projects milestones
Story,"As a nonprofit, I want to create milestones with due dates so that work stays on schedule",,Project Management,P1,5,Sprint 3,Done,,projects milestones
Story,"As a nonprofit, I want to update milestone status so that everyone sees progress",,Project Management,P1,3,Sprint 3,Done,,projects milestones
Story,"As a nonprofit, I want to mark milestones complete so that we track achievements",,Project Management,P1,3,Sprint 3,Done,,projects milestones
Story,"As a nonprofit, I want to see overdue milestones so that I can take action",,Project Management,P2,3,Sprint 3,Done,,projects milestones
Story,"As a nonprofit, I want to see milestone completion rates so that I know project health",,Project Management,P2,3,Sprint 3,Done,,projects milestones
Story,"As a nonprofit, I want to delete milestones that are no longer needed",,Project Management,P2,2,Sprint 3,Done,,projects milestones
Epic,Discovery & Browsing,Public project browsing and search functionality,,,,,New,,discovery
Story,"As a researcher, I want to browse projects without logging in so that I can explore opportunities",,Discovery & Browsing,P1,8,Sprint 4,Done,,discovery public
Story,"As a researcher, I want to search projects by keywords so that I find relevant work",,Discovery & Browsing,P1,5,Sprint 4,Done,,discovery search
Story,"As a researcher, I want to filter projects by domain so that I find my specialty",,Discovery & Browsing,P1,3,Sprint 4,Done,,discovery filtering
Story,"As a researcher, I want to filter projects by methods so that I find work I can do",,Discovery & Browsing,P1,3,Sprint 4,Done,,discovery filtering
Story,"As a researcher, I want to filter projects by budget so that I find paid opportunities",,Discovery & Browsing,P1,3,Sprint 4,Done,,discovery filtering
Story,"As a researcher, I want to see project details publicly so that I can decide if I'm interested",,Discovery & Browsing,P1,5,Sprint 4,Done,,discovery public
Story,"As a researcher, I want to see organization information so that I know who I'd work with",,Discovery & Browsing,P1,3,Sprint 4,Done,,discovery organizations
